,question,passage,seq_label,ans
83,Siapakah yang mengumumkan bahwa penerbangan China berawak berikutnya akan berlangsung pada tahun 2007,"Yang mengentak , hanya beberapa saat setelah kedua antariksawan keluar dari modul pendarat , Tan Xianming , Direktur Badan Rekayasa Ruang Angkasa Berawak China mengumumkan bahwa penerbangan berawak berikut akan berlangsung tahun 2007 dan akan disertai dengan "" jalan di angkasa "" ( spacewalk ) , di mana antariksawan keluar dari kapsul dan melakukan aktivitas . Setelah itu , akan ada dua penggabungan ( docking ) dua wahana angkasa China antara tahun 2009 dan 2012 . Hal ini dilakukan sebagai persiapan pembangunan stasiun angkasa permanen .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[CLS] siapakah yang mengumumkan bahwa penerbangan china berawak berikutnya akan berlangsung pada tahun 2007 [SEP]
84,Kapan pesawat Kolombia jatuh di Venezuela ?,"Caracas , Rabu - Sebuah pesawat Kolombia jatuh di Venezuela , Selasa ( 16/8 ) , beberapa saat setelah terjadi kerusakan mesin , menewaskan 152 penumpang berkebangsaan Perancis dan delapan awak berkebangsaan Kolombia . Ini merupakan kecelakaan pesawat keempat terbesar dalam dua pekan terakhir .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",rabu - sebuah pesawat kolombia jatuh di venezuela
85,Apakah nama pelabuhan di Cilacap ?,"Kapal tersebut langsung ditahan dan sampai saat ini masih berada di dermaga Pelabuhan Tanjung Intan Cilacap . Kapal Yo To milik PT Baruna Mekar - perusahaan jasa pelayaran asal Jakarta . Dari 528 minyak solar di kapal Yo To , sebagian di antaranya diduga berasal dari PT Wijaya Kusuma milik HNSI Cilacap .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",dermaga pelabuhan tanjung intan cilacap
86,"Di provinsi manakah , Ali Mazi menjabat sebagai gubernur","Sementara itu , Bupati Kolaka H Buhari Matta mengatakan , proyek perkebunan tersebut sangat menjanjikan masa depan bukan saja bagi rakyat Kolaka , melainkan juga masyarakat Sulawesi Tenggara umumnya . Karena itu , Gubernur Sultra Ali Mazi sangat mendukung kegiatan investasi tersebut .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",karena itu
87,Siapakah nama atlet Filipina yang meraih medali perak dalam lompat jauh putri ?,"Empat negara Asia Tenggara lainnya , yakni Filipina , Malaysia , Singapura , dan Thailand , mendapat medali . Filipina meraih perak lompat jauh putri yang dipersembahkan Marestella Torres . Malaysia kebagian perak dari lari 400 meter gawang putri yang diraih Noraseela Mohd Khalid dan perunggu loncat tinggi galah putri dari Roslinda Samsu yang melompati mistar setinggi 4 , 10 meter . Singapura menggaet perak tolak peluru putri yang diraih mantan atlet China , Zhang Gui Rong . Thailand memboyong satu emas , satu perak , dan satu perunggu . ( TIA )","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",marestella torres
88,"Kapan target tercapainya usaha mengurangi jumlah penduduk miskin dunia sebanyak 1,2 miliar jiwa menjadi setengahnya yang ditentukan para pemimpin dunia ?","Dari Geneva , Dirjen WHO Lee Jong-wook mengatakan tidak ada satu pun negara HIPCs yang mampu mengurangi jumlah kematian 11 juta orang per tahun , karena penyakit , menjadi hanya sepertiga pada 2015 . Bahkan dibutuhkan 150 tahun lagi untuk bisa mencapai target-target MDGs soal kesehatan , terutama pemberantasan HIV . ( AFP / AP / REUTERS / MON )","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","[CLS] kapan target tercapainya usaha mengurangi jumlah penduduk miskin dunia sebanyak 1 , 2 miliar jiwa menjadi setengahnya yang ditentukan para pemimpin dunia ? [SEP]"
89,Untuk merayakan apakah Megalitikum Kuantum yang pertama di Jakarta ?,"Enam puluh lima hari setelah pergelaran pertamanya di Jakarta , Megalitikum Kuantum kembali digelar kemarin , Sabtu 3 September . Bila yang pertama diadakan untuk merayakan ulang tahun ke - 40 Kompas , yang kedua digelar untuk merayakan ulang tahun ke - 60 Republik Indonesia .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tidak ditemukan
90,Di negara manakah SEA Games X dilaksanakan ?,"Padahal , waktu tahun 1998- 1999 , saya masih menang terus atas Suemasa . Namun , dia ikut seri Kejuaraan Dunia selama 2000 dan mulai tahun 2001 dia sudah sulit dikalahkan , kata Risa , yang terakhir mengungguli Suemasa di Malaysia 1999 seusai SEA Games X Brunei Darussalam .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']",brunei darussalam
91,Penghargaan apakah yang diterima John Hall ( 71 ) pada Oktober 2005,"Sehari sebelumnya , panitia Nobel mengumumkan pemenang penghargaan fisika dan kedokteran . Penerima Nobel Fisika adalah Roy Glauber (8 0 ) dan John Hall ( 71 ) dari AS dan Theodor Haensch ( 63 ) dari Jerman , yang mempelajari cahaya dan mempertajam laser untuk mengukur frekuensi dengan tingkat presisi amat tinggi .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tidak ditemukan
92,Siapa nama Kepala Dinas Perhubungan dan Pariwisata ( Dishubpar ) Banjarnegara ?,"Kondisi Candi Arjuna sekarang sangat memprihatinkan karena sudah miring dan terancam roboh , karena kemiringannya sudah mencapai 10 derajat . Bahkan batu-batuan candi sudah ada yang rontok , ujar Setiawan , Kepala Dinas Perhubungan dan Pariwisata ( Dishubpar ) Banjarnegara , Rabu ( 7/9 ) .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",rabu
93,Di provinsi manakah lokasi Danau Tamblingan ?,"Tabanan , Kompas - Tiga danau di Bali , yakni Danau Beratan , Buyan , dan Tamblingan , yang dikenal dengan Tridanau , tinggi permukaan airnya terus surut dan kini rata-rata tingkat susutnya mencapai sekitar tiga meter .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",bali
94,Ke manakah tujuan pesawat Kolombia yang jatuh di Venezuela pada tanggal 16-8- 2005 ?,"Pesawat jet McDonnell-Douglas MD - 82 naas itu berangkat dari Panama dan menuju Pulau Martinique di Karibia yang merupakan teritori Perancis . Dari 160 penumpang dan awak , 152 orang adalah warga Perancis yang mencarter pesawat itu dari West Caribbean Airways . Mereka kembali pulang ke rumah setelah sepekan liburan .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[SEP]
95,Apakah nama kapsul yang diawaki oleh Fei Junlong dan Nie Haisheng dalam penerbangannya ke luar angkasa ?,"Hampir dua tahun setelah penerbangan berawak pertama , China meluncurkan penerbangan berawak kedua pada tanggal 12 Oktober 2005 . Penerbangan dengan kapsul Shenzhou 6 ini diawaki oleh dua taikonot , yakni Fei Junlong dan Nie Haisheng , dan berlangsung selama lima hari , atau persisnya 115 jam 32 menit , menempuh jarak 3,25 juta kilometer di orbit .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",penerbangan dengan kapsul shenzhou 6 ini diawaki oleh dua taikonot
96,Berapa lamakah kuota tekstil dan produk tekstil ( TPT ) membelenggu perdagangan TPT ?,"Hapusnya kuota tekstil dan produk tekstil ( TPT ) yang selama 40 tahun lebih membelenggu perdagangan TPT telah membuka lembaran baru perdagangan TPT . Berbagai kebijakan baru muncul di berbagai negara , terutama oleh Amerika Serikat ( AS ) dan Uni Eropa ( UE ) , khususnya dalam enam bulan terakhir ini .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",yang selama 40 tahun lebih
97,Negara apakah yang dituju Maria Sharapova setelah meninggalkan Rusia pada umur 9 tahun ?,"Jika publik Rusia mengejek Sharapova dengan Buatan Amerika , barangkali memang ada benarnya . Pada usia sembilan tahun , Sharapova meninggalkan Rusia menuju AS ditemani sang ayah , Yuri Sharapov . Dia lantas ditangani pelatih masyhur , Nick Bollettieri , di Bradenton , AS .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",pada usia sembilan
98,Kapan terjadinya peristiwa pembunuhan sekitar 5.000 warga Kurdi di Halabja yang dituduhkan kepada Saddam Hussein ?,"Selain kasus pembantaian tahun 1982 , Saddam juga akan menghadapi tuduhan lain yang jumlahnya cukup banyak . Saddam antara lain dituduh membantai sekitar 5.000 warga Kurdi dengan menggunakan gas di Halabja pada Maret 1998 .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']",saddam antara lain dituduh membantai sekitar 5 . 000 warga kurdi dengan menggunakan gas di halabja pada maret 1998
99,Energi apa yang dapat dihasilkan dari limbah pengolahan susu sapi ?,"Selain PLTS , energi biogas yang berasal dari pengolahan limbah tahu juga merupakan sumber energi terbarukan . Desa Trimurti , Srandakan , Bantul , menjadi salah satu contoh desa pemanfaat energi bio gas .","['O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",energi biogas yang berasal dari pengolahan limbah tahu juga merupakan sumber energi terbarukan
100,Berlangsung dimanakah SEA Games XXII ?,"Saya baru di down hill , tadinya lebih suka di cross country . Mulanya di SEA Games XXII , Vietnam 2003 , saya ikutan down hill pinjam sepeda Priyo . Eh , hasilnya urutan keempat setelah pembalap Vietnam yang dapat emas , Risa , terus pembalap Vietnam lagi . Waktu di PON XI Sumatera Selatan 2004 , aku pinjam sepeda down hill milik Pengda Jabar , terus aku dapat perak , kalah dari Risa . Nah , makanya aku ikut lomba di down hill , buat tambah juara , kata Kusuma , yang demi sepeda gunung meningggalkan kuliahnya hingga semester IV di Fakultas Hukum Universitas Galuh karena terbang dari satu kejuaraan ke kejuaraan lainnya .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",vietnam
101,"Pada tahun berapakah , Wakidi , pelukis naturalistik Indonesia , lahir","Wakidi ( 1890 - 1979 ) , satu dari tiga pelukis naturalistik Indonesia terkemuka pada zamannya , boleh saja tiada . Namun , sejumlah muridnya masih mempertahankan corak Mooi Indie ( Hindia molek ) . Setidaknya itulah yang terlihat dalam pameran lukisan Spirit of Natura , yang dibuka Gamawan Fauzi , Gubernur Sumatera Barat , Kamis ( 15/12 ) di Inna Muara Hotel , Padang , Sumatera Barat .","['O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",pada zamannya
102,"Siapakah atlet renang asal Palembang yang mencetak rekor pada Porda Sumsel 2005 dengan catatan waktu 2 menit 28,63 detik untuk nomor 200 meter gaya punggung putra","Rekor ini sekaligus menggeser rekor renang 200 meter gaya punggung yang dicetak Yosef Kristiono pada Porda Sumsel tahun 2005 , dengan catatan waktu 2 menit 28 , 63 detik .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tidak ditemukan
103,Siapakah yang semula keberatan dengan kenaikan tarif tol dan akhirnya menerima kenaikan tersebut ?,"Komisi V DPR yang membidangi infrastruktur dan perumahan , yang semula keberatan dengan kenaikan tarif tol , akhirnya menerima kenaikan tersebut . "" Kami akhirnya memaklumi kenaikan tarif tol itu karena berbagai syarat , seperti perbaikan pelayanan yang diajukan Dewan disetujui pemerintah dan disanggupi operator . Kami juga sepakat membentuk tim khusus yang nantinya bersama pemerintah mengawasi dan mengevaluasi pelayanan operator kepada konsumen , "" kata Ketua Komisi V DPR Sofhian Mile .","['B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[CLS] siapakah yang semula keberatan dengan kenaikan tarif tol dan akhirnya menerima kenaikan tersebut ? [SEP]
104,Siapa Perdana Menteri Otoritas Palestina ?,"Perdana Menteri Palestina Ahmed Qorei sudah pernah meminta Hamas untuk bergabung dalam sebuah pemerintahan nasional bersatu , namun tawaran itu ditolak mentah-mentah oleh Hamas .","['O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",ahmed qorei sudah
105,Darimana Polda Kaltim menyita kayu log sebanyak 7380 meter kubik pada tahun 2005 ?,"Di kampung yang sama , polisi juga menyita 4.675 meter kubik kayu ilegal berbagai jenis . Masih di Kampung Tukul , polisi juga menyita kayu log olahan berbagai jenis 2.830 meter kubik dari PT Adi Putra Bintang . Kemudian di Desa Muara Kelian , Kecamatan Long Iram , polisi menyita 7.380 meter kubik kayu log olahan berbagai jenis dari PT Jaya Perkasa Kalimantan .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O']",[SEP]
106,Berapa jenis satwa yang tergolong langka di Pegunungan Muller ?,"Ribuan jenis tumbuhan , ratusan burung dan ngengat , puluhan jenis kupu-kupu , reptil , amfibi , invertebrata , dan jenis ikan berhasil diinventarisasi . Sedikitnya 10 jenis tumbuhan dan 8 satwa tergolong langka .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']",sedikitnya 10 jenis tumbuhan dan 8
107,Siapa mantan kepala keamanan Gaza yang tewas ditembak ?,"Gaza City , Rabu - Mantan kepala keamanan Gaza , Moussa Arafat , tewas ditembak di luar rumahnya menjelang fajar , Rabu ( 7/9 ) . Insiden ini memicu rasa takut di antara warga Palestina menyusul penarikan mundur militer Israel dari Jalur Gaza .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tidak ditemukan
108,Berapa banyak rata-rata orang yang melintasi pos perbatasan Skouw setiap harinya ?,"Jayapura , Kompas - Warga Papua Niugini yang melintasi pos perbatasan Skouw , Distrik Muara Tami , Jayapura , semakin meningkat setelah munculnya pasar kaget di wilayah perbatasan sejak dua bulan silam . Setiap hari rata-rata pos perbatasan Skouw dilintasi 150-200 warga PNG .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O']",setiap hari rata - rata pos perbatasan skouw dilintasi 150 - 200 warga png
109,Lima perusahaan permodalan asing di kawasan manakah yang tak mendapat pasokan gas Pertamina ?,"Jakarta , Kompas - Lima perusahaan permodalan asing di Kawasan Industri Cibitung , Jawa Barat , tak mendapat pasokan gas menyusul dihentikannya aliran gas oleh Pertamina sejak 25 Agustus lalu . Di tengah seretnya pasokan bahan bakar minyak , kondisi tersebut sangat menyulitkan perusahaan .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",Tidak ditemukan
110,Di negara bagian manakah Cape Canaveral berada ?,"Pola gelap-terang serta "" kanal-kanal "" di permukaannya telah menimbulkan spekulasi adanya kehidupan cerdas di planet dengan dua satelit tersebut . Untuk memenuhi rasa keingintahuan tersebut pada tanggal 20 Agustus dan 8 September 1975 diluncurkan dua wahana antariksa , Viking , dari Cape Canaveral - Florida . Misi pencarian kehidupan merupakan tema yang mendominasi penerbangan luar angkasa Viking .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",florida
111,"Di provinsi manakah , Taman Nasional Lore Lindu terletak","Sementara setelah berjuang selama empat tahun , warga Dongi-Dongi , yang menempati sekitar 4.000 hektar lahan di Taman Nasional Lore Lindu , Kecamatan Palolo , Kabupaten Donggala , Sulawesi Tengah , akhirnya diperbolehkan mengolah lahan itu . Balai Taman Nasional Lore Lindu akan memetakan ulang untuk mengetahui luas taman nasional itu .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",sulawesi tengah
112,Ada berapa jenis satwa langka di pegunungan Muller ?,"Ribuan jenis tumbuhan , ratusan burung dan ngengat , puluhan jenis kupu-kupu , reptil , amfibi , invertebrata , dan jenis ikan berhasil diinventarisasi . Sedikitnya 10 jenis tumbuhan dan 8 satwa tergolong langka .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']",sedikitnya 10 jenis tumbuhan dan 8
113,Berapakah jumlah mobil yang belum dikembalikan kepada KPU ?,"Mobil dan motor inventaris KPU juga ada yang belum dikembalikan mantan pejabat atau pensiunan karyawan KPU . Jumlah mobil yang belum dikembalikan 21 unit dengan harga bervariasi , mulai dari Rp 28 , 1 juta hingga Rp 156 juta , serta dua motor inventaris KPU merek Suzuki A100 keluaran tahun 1996 dengan harga Rp 3 , 4 juta . Total nilai kendaraan yang belum dikembalikan mantan pejabat dan mantan karyawan KPU Rp 1 , 888 miliar .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",[CLS] berapakah jumlah mobil yang belum dikembalikan kepada kpu ? [SEP]
